word,score
intexticated,5808.0
coon,5807.0
loner,5797.0
kyle,5733.0
idiot,5712.0
wank,5706.0
stellato,5699.0
japan,5692.0
rachel,5659.0
toiletry,5650.0
g,5644.0
dtf,5627.0
hater,5587.0
buy-curious,5585.0
tyler,5555.0
dudevorce,5533.0
yaoi,5525.0
fomo,5502.0
gaybie,5482.0
rofl,5467.0
apple,5460.0
teabagger,5439.0
vanessa,5433.0
jeremy,5432.0
irish,5425.0
furry,5424.0
text-hole,5420.0
fauxhawk,5415.0
homie,5415.0
mackenzie,5405.0
jock,5386.0
peta,5382.0
intaxication,5381.0
erika,5380.0
fam,5368.0
booty,5339.0
flirtationship,5339.0
soccer,5304.0
ethan,5299.0
spiderman,5281.0
handjob,5275.0
shypod,5270.0
dc,5269.0
lawl,5254.0
grenade,5248.0
mra,5248.0
fml,5231.0
milkshake,5230.0
smarterchild,5230.0
rimjob,5224.0
gtfo,5211.0
bro,5180.0
zelda,5178.0
word,5166.0
itt,5166.0
sup,5165.0
glomp,5164.0
coke,5131.0
mascary,5105.0
hash,5094.0
slang,5085.0
ben,5067.0
w00t,5065.0
goatse,5063.0
sam,5056.0
america,5055.0
mofo,5055.0
hyphy,5053.0
ganja,5052.0
rap,5041.0
blunt,5040.0
walmart,5035.0
balls,5033.0
michelle,4987.0
man,4976.0
soulmate,4970.0
stoned,4965.0
black,4964.0
crack,4964.0
cholo,4956.0
ebonics,4952.0
kush,4949.0
kiss,4947.0
youtube,4944.0
aaron,4944.0
dyke,4915.0
fucked,4913.0
fauxpology,4910.0
jerk,4906.0
chronoptimist,4901.0
cumshot,4856.0
wallflower,4850.0
hitler,4830.0
alcohol,4815.0
gullible,4808.0
tramp,4784.0
me,4776.0
bogart,4769.0
batman,4768.0
sargasm,4752.0
english,4751.0
2pac,4748.0
diana,4746.0
period,4743.0
rebooty,4727.0
feminism,4715.0
autotune,4702.0
lesbro,4700.0
squirt,4696.0
shorty,4695.0
chase,4692.0
destinesia,4691.0
uk2,4672.0
grammer,4669.0
alltheist,4655.0
lsd,4651.0
stephanie,4649.0
awol,4638.0
lulz,4635.0
fellatio,4628.0
durfy,4620.0
senioritis,4596.0
linux,4587.0
seamin,4586.0
rock,4585.0
christine,4583.0
kthxbi,4581.0
grace,4580.0
trick,4579.0
nirvana,4568.0
manscape,4561.0
pervert,4560.0
player,4558.0
nambla,4557.0
lmfao,4557.0
dsl,4556.0
fingering,4554.0
bimbo,4551.0
hobosexual,4548.0
joseph,4545.0
fucking,4537.0
hockey,4533.0
automagically,4529.0
aight,4529.0
fubar,4523.0
israel,4521.0
shawty,4518.0
shrooms,4485.0
meth,4483.0
atheist,4483.0
gooch,4482.0
docking,4476.0
laura,4473.0
bud,4470.0
askhole,4468.0
kayla,4461.0
fappable,4458.0
yardsale,4458.0
paul,4430.0
nontroversy,4422.0
stoptional,4418.0
noah,4416.0
jews,4404.0
hummer,4403.0
connor,4401.0
floordrobe,4377.0
bluetool,4369.0
imo,4366.0
facial,4356.0
dingleberry,4347.0
requestion,4343.0
tnb,4342.0
leeroy,4340.0
feminazi,4333.0
fupa,4331.0
trevor,4328.0
swagger,4316.0
mwah,4302.0
government,4298.0
roflcopter,4295.0
caitlin,4286.0
jenna,4286.0
clusterfuck,4270.0
traffuck,4265.0
mexinigger,4243.0
halo,4243.0
cleavage,4238.0
naomi,4236.0
moobs,4235.0
riaa,4219.0
liberal,4216.0
kate,4210.0
fun,4209.0
breasts,4207.0
jesse,4202.0
1,4198.0
germany,4196.0
max,4190.0
thick,4189.0
kike,4187.0
bloods,4185.0
fangirl,4185.0
queer,4179.0
a,4161.0
thong,4158.0
op,4157.0
crump,4153.0
barsexual,4136.0
beaver,4132.0
motorboat,4120.0
trap,4118.0
owned,4113.0
badass,4112.0
prude,4110.0
german,4109.0
ariana,4106.0
bbc,4086.0
hahaha,4058.0
brianna,4047.0
tara,4038.0
crap,4036.0
tbh,4032.0
festivus,4026.0
gangbang,4023.0
ounce,4019.0
rdc,4015.0
gangster,4011.0
baller,4009.0
diarrhea,3987.0
acid,3987.0
g-spot,3977.0
chavs,3974.0
ignoranus,3958.0
mo',3958.0
sodomy,3950.0
police,3950.0
sublime,3946.0
shizzle,3938.0
fireworks,3937.0
bamf,3937.0
jordan,3936.0
joey,3931.0
hbic,3930.0
yellular,3929.0
muff,3925.0
psychic,3924.0
broner,3921.0
yuppie,3917.0
dwt,3913.0
coochie,3903.0
rad,3902.0
bra,3896.0
dave,3895.0
jaded,3888.0
spam,3886.0
chalga,3886.0
cuckold,3881.0
microwait,3863.0
lean,3860.0
ship,3860.0
christianity,3860.0
stalker,3855.0
ipod,3847.0
snowball,3846.0
schlong,3843.0
trance,3838.0
redhead,3832.0
trolling,3828.0
taint,3823.0
cashmas,3821.0
kawaii,3806.0
alison,3803.0
blow,3788.0
drugs,3788.0
krite,3783.0
moron,3778.0
butthurt,3767.0
gg,3764.0
italian,3761.0
amelia,3760.0
katherine,3758.0
urbandictionary.com,3757.0
motorboating,3757.0
christmahannukwanzadan,3756.0
i,3754.0
illuminati,3744.0
dubstep,3742.0
g-unit,3736.0
niggers,3736.0
teh,3735.0
tubgirl,3733.0
broad,3729.0
wanksta,3729.0
urbandictionary,3728.0
woot,3724.0
spongebob,3723.0
preppy,3720.0
chinese,3720.0
shannon,3714.0
pornfolio,3702.0
dickhead,3700.0
skinner,3699.0
iirc,3699.0
wow,3693.0
yo,3690.0
shroomery,3689.0
8=d,3683.0
dan,3664.0
chinnifer,3661.0
friends,3656.0
aibohphobia,3654.0
ian,3650.0
marine,3646.0
creeper,3646.0
dome,3644.0
ex-hole,3642.0
lilly,3641.0
crips,3639.0
cheese,3624.0
finna,3620.0
weaboo,3614.0
tim,3608.0
cooter,3606.0
pawg,3600.0
omgwtfbbq,3595.0
islam,3594.0
pegging,3593.0
the,3587.0
nickelodeon,3581.0
whip,3573.0
sean,3572.0
damn,3567.0
poontang,3565.0
nazi,3563.0
cheesy,3557.0
female,3556.0
savage,3554.0
thirsty,3554.0
superbowl,3550.0
rebecca,3550.0
jawn,3545.0
mung,3544.0
sprung,3536.0
salty,3531.0
texas,3521.0
metal,3520.0
bj,3517.0
goat,3511.0
kfc,3506.0
drew,3498.0
niggerfaggot,3486.0
wifey,3483.0
beard,3482.0
faded,3480.0
zach,3479.0
dilligaf,3477.0
luke,3477.0
metalhead,3470.0
infidel,3466.0
naruto,3464.0
2girls1cup,3456.0
marcus,3453.0
steven,3447.0
erection,3446.0
analrapist,3445.0
phat,3443.0
melanie,3439.0
liptease,3439.0
incest,3432.0
hate,3429.0
vote,3424.0
wet,3420.0
staggle,3418.0
windows,3418.0
teabag,3417.0
heather,3400.0
breast,3398.0
assclown,3388.0
mudshark,3382.0
cop,3381.0
cherry,3371.0
cringeworthy,3367.0
execubabble,3366.0
trustno1,3364.0
spickerpickerupper,3360.0
leslie,3359.0
gunt,3359.0
wapanese,3351.0
gar,3350.0
karina,3347.0
afk,3335.0
firefox,3335.0
pot,3333.0
duff,3328.0
pda,3325.0
soz,3321.0
maniston,3320.0
bella,3320.0
evan,3312.0
munchies,3311.0
radiohead,3302.0
caleb,3298.0
bangover,3295.0
mark,3292.0
leah,3291.0
nizzle,3290.0
fail,3285.0
wood,3275.0
grinding,3271.0
b,3270.0
slipknot,3265.0
denise,3259.0
brooke,3249.0
cole,3233.0
impactful,3228.0
psycho,3220.0
udi,3213.0
nekkid,3208.0
orgy,3205.0
natalie,3202.0
fng,3201.0
s&m,3201.0
lame,3197.0
bang,3194.0
loneliness,3194.0
nihilism,3193.0
sick,3192.0
minger,3187.0
muse,3187.0
danielle,3181.0
cowbell,3176.0
redshirt,3168.0
johnson,3168.0
lust,3167.0
american,3165.0
lexi,3164.0
ish,3163.0
garrett,3158.0
dime,3157.0
bollocks,3157.0
titties,3146.0
freebsd,3143.0
julian,3141.0
pregret,3139.0
microsoft,3138.0
143,3138.0
democrats,3135.0
gat,3135.0
pedophile,3131.0
:3,3128.0
pov,3126.0
fake,3124.0
freestyle,3124.0
men,3123.0
naacp,3114.0
vodka,3113.0
hickey,3113.0
aids,3113.0
fucker,3106.0
pikey,3104.0
meta,3099.0
christmas,3098.0
iphone,3098.0
fluffer,3094.0
interesting,3085.0
kickback,3085.0
porno,3081.0
intercourse,3079.0
bacon,3078.0
wumbo,3077.0
babe,3075.0
leanover,3072.0
chill,3070.0
derek,3069.0
ftfy,3067.0
gaydar,3064.0
tns,3063.0
pac-manning,3061.0
tight,3059.0
pikachu,3058.0
futurama,3058.0
hayley,3058.0
foreplay,3057.0
guy,3054.0
everclear,3054.0
spinner,3053.0
conservative,3051.0
devin,3038.0
homer,3036.0
bases,3034.0
sorostitute,3030.0
teacher,3029.0
otl,3027.0
dp,3018.0
shopaholic,3018.0
fetch,3015.0
fgsfds,3014.0
stupidologist,3014.0
neverendum,3006.0
sexile,3004.0
matthew,3001.0
stud,2995.0
peter,2987.0
snafu,2976.0
slag,2974.0
math,2972.0
shituation,2971.0
cigarette,2970.0
bitchassness,2965.0
sammich,2956.0
adhd,2955.0
erica,2954.0
queen,2954.0
blog,2953.0
gdi,2953.0
blair,2952.0
dubya,2949.0
dankrupt,2948.0
trippin,2942.0
7,2939.0
tmi,2929.0
thisclose,2929.0
hollister,2926.0
prostitute,2925.0
banana,2923.0
lolita,2918.0
fanfiction,2916.0
btw,2915.0
valerie,2913.0
gleek,2911.0
takesima,2905.0
deface,2904.0
alexander,2903.0
girls,2900.0
cindy,2896.0
pokemon,2890.0
prep,2890.0
fly,2889.0
precrestination,2887.0
edgehog,2887.0
banter,2886.0
boss,2882.0
jeff,2880.0
democrat,2878.0
frisbeetarianism,2869.0
cuddle,2869.0
gnarly,2868.0
derp,2865.0
philadelphia,2863.0
abercrombie,2863.0
smart,2863.0
bootylicious,2862.0
dipshit,2862.0
forhetz,2859.0
mexican,2857.0
blonde,2857.0
puta,2856.0
pothead,2855.0
touche,2853.0
ttyl,2851.0
heck,2850.0
toronto,2847.0
eddy,2847.0
brandywine,2842.0
vajayjay,2840.0
tease,2839.0
jocelyn,2839.0
logan,2834.0
mirf,2830.0
house,2828.0
hippie,2827.0
harvard,2827.0
brett,2826.0
farticles,2826.0
michigan,2825.0
tom,2824.0
ib,2818.0
link,2818.0
london,2813.0
jose,2810.0
dickweed,2806.0
idk,2806.0
pc4pc,2804.0
blake,2804.0
omg,2802.0
france,2801.0
nickelback,2796.0
stephen,2795.0
rectumobile,2794.0
yiff,2793.0
cartman,2787.0
spic,2786.0
gook,2785.0
sharon,2782.0
dro,2781.0
catholic,2778.0
snatch,2774.0
irs,2774.0
wicked,2773.0
joel,2772.0
boys,2771.0
marie,2769.0
bipolar,2768.0
qft,2766.0
creationism,2764.0
lost,2764.0
turbeville,2764.0
lolz,2759.0
teenager,2758.0
brb,2757.0
meathead,2756.0
montana,2754.0
pig,2753.0
neckbeard,2751.0
(_*_),2751.0
shotgun,2750.0
allison,2744.0
dawg,2743.0
rickroll,2743.0
stan,2742.0
turd,2741.0
greek,2737.0
irie,2736.0
hustler,2735.0
lemonparty,2731.0
bass,2731.0
fit,2730.0
korean,2728.0
alexa,2727.0
candlejack,2724.0
furries,2724.0
killuminati,2721.0
otaku,2721.0
virginity,2720.0
maddy,2715.0
hun,2714.0
flake,2712.0
ily,2710.0
stoked,2710.0
introvert,2705.0
karla,2705.0
smash,2700.0
aol,2700.0
wife,2697.0
peace,2692.0
zoe,2691.0
lovesick,2690.0
wackadoodle,2689.0
tard,2688.0
natasha,2688.0
brain,2687.0
ufia,2687.0
jon,2686.0
wisconsin,2685.0
guap,2684.0
vivian,2683.0
anonymous,2683.0
ballin,2682.0
twitterpated,2677.0
asexual,2675.0
random,2674.0
jabroni,2672.0
madeline,2670.0
twerk,2669.0
sexual,2666.0
unf,2664.0
lily,2661.0
gimp,2659.0
minnesota,2658.0
hobocore,2657.0
kthxbye,2657.0
cornholio,2654.0
erik,2651.0
newfag,2649.0
joint,2648.0
liz,2647.0
money,2646.0
choreplay,2644.0
naff,2639.0
rimming,2636.0
fanny,2636.0
hangover,2632.0
liam,2632.0
hypebeast,2630.0
rebel,2628.0
bastard,2627.0
hunter,2627.0
dana,2627.0
janky,2626.0
butt,2625.0
senpai,2620.0
fag,2617.0
nipples,2616.0
hi-def,2616.0
racism,2611.0
plox,2609.0
smegma,2607.0
priscilla,2606.0
michaela,2606.0
dad,2604.0
biatch,2600.0
42,2599.0
shade,2598.0
pendejo,2593.0
nigglet,2591.0
herpes,2589.0
puma,2587.0
mikayla,2586.0
niggardly,2578.0
nintendo,2577.0
deepthroat,2576.0
yoink,2575.0
tattoo,2575.0
annie,2571.0
british,2571.0
kristen,2568.0
freshman,2566.0
adderall,2565.0
slash,2560.0
thug,2560.0
honky,2556.0
supernatural,2553.0
earth,2552.0
swag,2550.0
anus,2547.0
ivan,2542.0
scat,2542.0
muffin,2541.0
anne,2539.0
maddie,2538.0
bloke,2538.0
mormon,2538.0
punani,2537.0
barbie,2536.0
egyptian,2536.0
cinephile,2532.0
mines,2530.0
stripsy,2530.0
box,2528.0
fanistons,2526.0
scarfman,2524.0
baked,2520.0
dustin,2519.0
shank,2516.0
theresa,2512.0
flamer,2507.0
frack,2503.0
dl,2500.0
pansexual,2497.0
lqtm,2495.0
felch,2494.0
sierra,2492.0
gonzo,2491.0
pre-festive,2489.0
motherfucker,2489.0
war,2486.0
dip,2482.0
legit,2482.0
lori,2477.0
asians,2476.0
mario,2473.0
ecstasy,2472.0
abcdefghijklmnopqrstuvwxyz,2471.0
stuntin,2470.0
homo,2469.0
borat,2469.0
pornament,2467.0
white,2467.0
nymphomaniac,2463.0
norway,2463.0
sizzurp,2463.0
(y),2461.0
angel,2459.0
shiznit,2459.0
skater,2458.0
scissoring,2457.0
footsie,2456.0
hxc,2454.0
steve,2450.0
randy,2448.0
india,2446.0
spunk,2445.0
typeless,2444.0
atheism,2439.0
yayo,2439.0
hump,2435.0
latina,2435.0
pornacopia,2433.0
christians,2429.0
gabrielle,2418.0
bum,2418.0
pennsylvania,2416.0
kathryn,2412.0
emma,2406.0
smd,2406.0
seattle,2404.0
alpha,2401.0
ebony,2398.0
iran,2397.0
colin,2397.0
omar,2396.0
tampon,2396.0
shite,2395.0
jalouse,2395.0
bump,2394.0
abortion,2393.0
azn,2393.0
pizza,2391.0
chickenhead,2390.0
shy,2389.0
nvm,2388.0
jiggaboo,2388.0
illmatic,2387.0
usa,2381.0
slp,2380.0
doobie,2379.0
santa,2378.0
lara,2377.0
freak,2377.0
frontin,2374.0
meep,2372.0
niggerabilia,2371.0
spliff,2371.0
fetish,2370.0
lydia,2370.0
scottish,2369.0
ska,2369.0
daddy,2368.0
massachusetts,2365.0
neopets,2365.0
nsa,2363.0
chutiya,2363.0
posse,2361.0
murk,2361.0
cockblock,2360.0
frenemy,2360.0
nig,2357.0
tequila,2357.0
poland,2357.0
ghey,2356.0
itis,2353.0
cake,2352.0
baby,2345.0
bi,2343.0
sperm,2343.0
bb,2342.0
brodown,2339.0
slayer,2339.0
heroin,2339.0
finger,2338.0
spook,2334.0
purp,2333.0
zombie,2332.0
annoying,2332.0
sauce,2331.0
dictionary,2329.0
imho,2328.0
liberals,2325.0
deloitte,2324.0
erin,2323.0
ac/dc,2322.0
pregnant,2318.0
doe,2313.0
rtfm,2312.0
nascar,2308.0
steez,2308.0
train,2306.0
boston,2305.0
hasselhoffing,2304.0
chelsea,2303.0
dickson,2296.0
lacrosse,2295.0
cutting,2294.0
megadeth,2293.0
smut,2290.0
indian,2290.0
beatles,2290.0
yay,2289.0
deuces,2287.0
zionist,2285.0
iraq,2284.0
trib,2283.0
will,2283.0
cosplay,2283.0
bruh,2278.0
minge,2278.0
nut,2275.0
sike,2275.0
taco,2271.0
cuntabilia,2270.0
spencer,2269.0
bear,2269.0
sophie,2268.0
hurrication,2267.0
tori,2265.0
apush,2259.0
gilf,2258.0
thomas,2253.0
midget,2241.0
oreo,2239.0
kk,2239.0
negro,2238.0
fisting,2236.0
threesome,2235.0
dike,2234.0
avery,2232.0
namaste,2232.0
pod,2232.0
tanya,2230.0
jazz,2229.0
spoon,2229.0
staycation,2228.0
arrogant,2225.0
braces,2224.0
marines,2218.0
camper,2218.0
mindfuck,2216.0
mainstream,2216.0
bf,2215.0
ditto,2215.0
angela,2214.0
joe,2214.0
persian,2214.0
i-peeper,2214.0
jihad,2212.0
philippines,2211.0
brah,2211.0
shitpiece,2211.0
funny,2210.0
crackhead,2208.0
communism,2206.0
yarr!,2204.0
haley,2203.0
errorist,2198.0
food,2197.0
nadia,2196.0
feet,2196.0
asdfghjkl,2195.0
q.e.d.,2194.0
ftw!!!,2192.0
sasuke,2191.0
dmv,2190.0
hick,2189.0
popo,2188.0
oregon,2187.0
grunge,2186.0
tennis,2186.0
hernandez,2184.0
k,2183.0
ep,2183.0
thizz,2181.0
cream,2181.0
smack,2181.0
gash,2181.0
water,2181.0
cassandra,2179.0
clingy,2178.0
/b/tard,2178.0
kudos,2174.0
sociopath,2172.0
trogdor,2172.0
mc,2172.0
semen,2170.0
.,2167.0
christina,2166.0
starcraft,2166.0
gaylord,2163.0
bushman,2163.0
dong,2163.0
rugby,2163.0
bird,2163.0
rimpod,2162.0
rack,2162.0
tri-sexual,2162.0
victoria,2161.0
ricky,2160.0
atm,2158.0
salvia,2157.0
engayed,2154.0
caroline,2153.0
helen,2152.0
andy,2151.0
coalburner,2147.0
urkin,2146.0
sketchy,2145.0
prom,2144.0
marissa,2144.0
bumbaclot,2141.0
russian,2140.0
mourad,2140.0
manicorn,2135.0
dumbfuck,2135.0
insomnia,2135.0
fwb,2133.0
butters,2132.0
evil,2132.0
brokeback,2131.0
hypocrite,2131.0
parents,2127.0
bowl,2125.0
roflmao,2125.0
christopher,2123.0
virgo,2122.0
dead,2122.0
beef,2117.0
joy,2116.0
404,2116.0
quim,2115.0
hooptie,2114.0
oxymoron,2114.0
cameltoe,2113.0
dftba,2112.0
pop,2111.0
quagmire,2108.0
kewl,2108.0
hawt,2107.0
lesbians,2107.0
naggers,2106.0
like,2104.0
cancer,2103.0
econnoisseur,2103.0
people,2102.0
truthiness,2102.0
pre-pull,2100.0
nookie,2098.0
jk,2096.0
shallow,2095.0
wikidemia,2092.0
brunette,2091.0
elena,2090.0
beast,2089.0
manga,2088.0
sxe,2087.0
precop,2086.0
bet,2083.0
arizona,2082.0
wang,2080.0
hey,2079.0
hello,2077.0
ramen,2077.0
jacob,2074.0
vato,2073.0
badunkadunk,2072.0
pwnage,2071.0
gemini,2070.0
china,2070.0
86,2069.0
detroit,2069.0
amazing,2067.0
rage,2066.0
wigga,2066.0
sage,2065.0
finland,2064.0
ofc,2062.0
dotcomrade,2057.0
smoking,2056.0
compton,2055.0
skinhead,2053.0
fuckwit,2053.0
sounding,2050.0
%s,2050.0
paramore,2050.0
yeah,2047.0
cracka,2041.0
honkey,2041.0
pope,2041.0
808,2041.0
pleb,2040.0
narutard,2036.0
sheeple,2036.0
multislacking,2035.0
hotbox,2034.0
pornography,2031.0
footjob,2031.0
myspy,2031.0
rammstein,2028.0
nukka,2027.0
wong,2027.0
zooted,2026.0
jack,2025.0
fyi,2023.0
mandingo,2022.0
cp,2022.0
accenture,2020.0
smexy,2017.0
ginger,2016.0
engrish,2016.0
mob,2014.0
moot,2013.0
charlene,2011.0
cheeky,2011.0
piece,2007.0
rita,2006.0
sun,2003.0
sonia,2003.0
jorts,2002.0
alec,2001.0
relationship,2001.0
futa,2000.0
carlos,1999.0
666,1999.0
eddie,1998.0
brian,1996.0
kek,1995.0
vanilla,1994.0
ubuntu,1993.0
baka,1989.0
john,1984.0
barbara,1982.0
nillionaire,1982.0
starbucks,1981.0
xxx,1980.0
squid,1980.0
sasunaru,1978.0
outcast,1977.0
joanna,1976.0
mudkipz,1975.0
smosh,1974.0
louisiana,1974.0
beaner,1970.0
toke,1970.0
cheet,1970.0
pain,1969.0
slore,1968.0
scrubs,1967.0
womyn,1966.0
cabron,1966.0
otter,1966.0
tops,1965.0
mad,1965.0
bff,1962.0
lynn,1958.0
tangina,1958.0
gun,1957.0
french,1954.0
beyonce,1953.0
seinfeld,1952.0
grill,1951.0
hustle,1951.0
cannonball,1948.0
swinger,1947.0
bulgaria,1945.0
outside,1945.0
clicktease,1943.0
carol,1943.0
claire,1940.0
wrestling,1940.0
ice,1939.0
sassy,1939.0
wii,1939.0
beezy,1938.0
mariah,1937.0
preps,1935.0
karma,1933.0
utah,1932.0
voluntold,1931.0
sweet,1929.0
bryce,1926.0
one-upper,1925.0
vixen,1924.0
manbearpig,1921.0
blaze,1921.0
nipple,1920.0
innit,1916.0
moar,1914.0
mong,1913.0
daisy,1913.0
disney,1912.0
libertarian,1912.0
corny,1910.0
vancouver,1909.0
imvu,1905.0
git,1902.0
chola,1901.0
brooklyn,1900.0
dub,1899.0
bender,1899.0
uber,1898.0
irony,1897.0
oscar,1895.0
kvlt,1894.0
pittsburgh,1893.0
thx,1891.0
hymen,1891.0
misogynist,1891.0
lollercaust,1889.0
aaliyah,1889.0
htf,1889.0
pretty,1888.0
lemon,1888.0
shemale,1887.0
nwa,1884.0
au,1884.0
victor,1884.0
misanthropy,1884.0
boredom,1883.0
swallow,1883.0
sasha,1881.0
fandom,1881.0
ytmnd,1880.0
doty,1879.0
maplestory,1878.0
reggie,1876.0
aidan,1874.0
ireland,1872.0
guidette,1869.0
snuggle,1869.0
typeractive,1868.0
weezer,1868.0
russia,1867.0
fanboy,1867.0
bully,1865.0
conversate,1864.0
wololo,1863.0
imba,1862.0
pmsl,1859.0
dickmatized,1859.0
dap,1858.0
buster,1857.0
psp,1855.0
cyber,1854.0
bustedtees,1851.0
sat,1849.0
zipperhead,1848.0
pantera,1848.0
g.o.a.t,1846.0
square,1846.0
