word,score
kappa kappa gamma,751.0
cao ni ma,741.0
kramer  cosmo,737.0
billie joe armstrong,737.0
university of chicago,736.0
big jock knew,730.0
super bowl monday,729.0
guns n' roses,727.0
the pirate bay,724.0
i like pie,717.0
fuck that noise,715.0
lambda phi epsilon,713.0
drop the soap,709.0
oj simpson's password,706.0
spank the monkey,705.0
nigga  please,702.0
quabbing a twab,700.0
alaskan fire dragon,699.0
half a virgin,696.0
zombie jesus day,696.0
tig ol' bitties,695.0
menage a trois,695.0
house party weekend,690.0
jedi mind tricks,690.0
taking back sunday,687.0
ocarina of time,687.0
green day fan,687.0
ap world history,686.0
toss my salad,686.0
eat me out,684.0
5 o'clock shadow,683.0
trailer park boys,681.0
over nine thousand,677.0
spanking the monkey,677.0
white knight syndrome,676.0
jam all more,676.0
wo ai ni,675.0
rock paper scissors,674.0
rocko's modern life,674.0
catch a body,674.0
real id act,671.0
what the deuce?,670.0
25 to life,669.0
little man syndrome,668.0
medfield  ma,667.0
s my d,666.0
white trash princess,665.0
in the barrel,662.0
hot lips houlahan,660.0
come to jesus,657.0
suck a fuck,655.0
eat a dick,655.0
the mars volta,652.0
hit a lick,651.0
partner in crime,648.0
nigger -b- gone,645.0
t & a,642.0
gears of war,642.0
kiss and tell,639.0
choking the chicken,638.0
do not want,637.0
fuck the system,636.0
pitch a tent,634.0
a bill clinton,634.0
white on rice,633.0
toss the salad,631.0
zsa zsa zsu,631.0
pi kappa phi,629.0
pinch a loaf,629.0
cherry cream pie,628.0
dungeons and dragons,626.0
to the left,626.0
the white stripes,624.0
fuck you money,622.0
harold and kumar,619.0
ice cream sandwich,617.0
ball don't lie,617.0
oh shit bar,613.0
all your base,612.0
chinga tu madre,611.0
deus ex machina,610.0
slow your roll,608.0
slap the bag,607.0
flip a bitch,606.0
b & bj,606.0
a mushroom stamp,602.0
mothers against maddox,602.0
get over yourself,602.0
s and m,601.0
tongue in cheek,600.0
next door nikki,600.0
snitches get stitches!,600.0
a clockwork orange,600.0
dirt pipe milkshake,598.0
emergency dance party,597.0
alpha chi omega,597.0
fuck your couch,597.0
flourish of strumpets,596.0
what it is,593.0
on the grind,592.0
gun free zone,592.0
fake the funk,591.0
sonic the hedgehog,590.0
head over heels,589.0
nappy headed ho,589.0
stacks on deck,587.0
eminem/slim shady/marshall mathers,586.0
va jay jay,586.0
jamie lynn spears,585.0
shoe on head,584.0
break you off,583.0
tig ol bitties,583.0
up the spout,582.0
teen girl squad,581.0
doo doo mama,580.0
romeo and juliet,579.0
hit the sack,579.0
australian rules football,578.0
war on drugs,577.0
v for vendetta,575.0
oh shit handle,572.0
cyanide and happiness,572.0
michigan state university,571.0
i'd hit that,570.0
when in rome,567.0
opie and anthony,567.0
je m'en fous,566.0
mark ass trick,565.0
quarter life crisis,564.0
the angry pirate,564.0
drop a deuce,562.0
hot beef injection,562.0
how you doin'?,560.0
divide by zero,559.0
boogly buggly boo,559.0
ll cool j,558.0
neil patrick harris,557.0
beavis and butt-head,557.0
are you aware...,557.0
make it snow,554.0
r and r,554.0
chopped and screwed,552.0
reel big fish,552.0
guns n roses,552.0
hit the hay,549.0
wanna ride bikes,548.0
bloods and crips,547.0
shizzle my nizzle,546.0
ride the bull,546.0
escape the fate,545.0
let's fighting love,541.0
happy go lucky,541.0
george 'w' bush,541.0
ap european history,541.0
dance dance revolution,540.0
walker texas ranger,540.0
zip your soup-cooler,540.0
jesus fucking christ,540.0
pour one out,539.0
t minus zero,539.0
pabst blue ribbon,537.0
alpha kappa alpha,536.0
piece of shit,536.0
choke on it,535.0
the nervous game,535.0
good for you,535.0
waste of time,534.0
robbing the cradle,533.0
ace boon coon,530.0
black and mild,530.0
alpha xi delta,529.0
the smashing pumpkins,529.0
flip the bird,528.0
in soviet russia,527.0
shoop da woop,526.0
legend of zelda,526.0
fuck me sideways,525.0
phone it in,525.0
bad mother fucker,525.0
lowell high school,524.0
level 5 vegan,524.0
boner jams '03,523.0
gates of heaven,523.0
urban dictionary !,521.0
kum and go,520.0
hard to get,520.0
beyond the pale,520.0
pitching a tent,520.0
pop the collar,519.0
three 6 mafia,519.0
balls of steel,519.0
university of delaware,518.0
the mighty boosh,518.0
i am spartacus,518.0
southeast san diego,517.0
tegan and sara,516.0
im on one,515.0
gold star lesbian,514.0
suck my balls,513.0
taking the piss,513.0
take the piss,511.0
camel toe slide,509.0
dime a dozen,509.0
jewish american princess,508.0
perry bible fellowship,507.0
calvert hall college,507.0
gerard arthur way,507.0
university of florida,506.0
fleece it out,506.0
republican attack machine,504.0
blowjobs after marriage,504.0
dee dee dee,504.0
england vs america,502.0
git er done,501.0
low pro po,499.0
retards attempting poetry,498.0
jennifer love hewitt,497.0
university of dayton,497.0
nail the whale,497.0
worst band ever,497.0
left handed website,496.0
yada yada yada,496.0
stand up guy,495.0
queen of spades,494.0
hit em up,494.0
sexual harassment panda,491.0
three day rule,490.0
off the chain,490.0
j lo booty,489.0
sookie sookie now,486.0
the emo swoop,486.0
drop the needle,486.0
breaking my balls,485.0
rock star parking,485.0
pen 15 club,485.0
angels and airwaves,484.0
a bon jovi,484.0
kool aid drinker,484.0
fuck me pumps,482.0
iron butterfly plus,482.0
the breakfast club,481.0
brown and serve,481.0
boy meets world,480.0
i heart you,480.0
master of puppets,480.0
infinity plus one,479.0
no strings attached,479.0
toilet paper diploma,479.0
grinding the corn,478.0
wall of text,478.0
burn a bridge,477.0
explore her fathoms,476.0
kings of leon,475.0
real recognize real,475.0
cest la vie,474.0
spiderman that hoe,474.0
john f. kennedy,474.0
black tooth grin,473.0
kick the bucket,473.0
great googly moogly,473.0
fuck the police,472.0
it's your birthday,471.0
stop and chat,471.0
shit the bed,470.0
bitches be trippin',470.0
bush derangement syndrome,470.0
seven deadly sins,470.0
tau kappa epsilon,470.0
long distance relationship,469.0
bum rape fields,469.0
walk it out,468.0
red headed stepchild,467.0
hindsight is 20/20,467.0
i and i,467.0
rubber band man,465.0
knock yourself out,465.0
middle child syndrome,465.0
detroit red wings,464.0
james madison university,464.0
knock on wood,462.0
mr. 18 inch,462.0
eat my ass,461.0
meaning of life,460.0
new york yankees,460.0
in a minute,458.0
metal gear solid,458.0
guildford bearded lady,458.0
that '70s show,457.0
n - bomb,456.0
edward 40 hands,455.0
can you not,455.0
single awareness day,454.0
ay dios mio,454.0
i second that,454.0
freaks and geeks,453.0
protest the hero,453.0
f your a,453.0
elephant in egg,452.0
harshing my mellow,452.0
mr. rogers' neighborhood,452.0
religion of peace,452.0
icy hot stuntaz,452.0
dap and dip,451.0
isla vista derelict,451.0
in n out,451.0
ten crack commandments,451.0
s s s,451.0
red hot richard,450.0
cut the cheese,450.0
popping a cherry,449.0
racist double standard,449.0
butter your muffin,447.0
hack the gibson,446.0
take it easy,446.0
oh my god,445.0
boyfriend without benefits,445.0
fresh to death,444.0
marlboro blend no.27,444.0
armin van buuren,443.0
alt + f4,443.0
politically correct racism,442.0
t and a,442.0
la la land,441.0
superman dat ho,441.0
jennifer love hugetits,439.0
turkish eye opener,439.0
hot monkey sex,439.0
chunk the deuce,439.0
chuck norris facts,439.0
off the hook,437.0
shred the gnar,437.0
microwave a melon,437.0
double knuckle shufle,436.0
war on terror,434.0
get a room,434.0
milk chicken bomb,433.0
for fuck's sake,432.0
wu tang financial,432.0
whale cock (dork),431.0
eat my shorts,430.0
bush's second term,430.0
traffic light party,430.0
nigger fortune cookie,429.0
upstate new york,428.0
nigger advisory committee,426.0
chronic bitch dependency,426.0
git r done,423.0
the academy is,423.0
fuck me running,422.0
bullshit baffles brains,421.0
cheech and chong,421.0
fuck and chuck,420.0
sarang hae yo,420.0
would you kindly,420.0
kids in sandbox,419.0
god hates fags,419.0
blow job eyes,419.0
jump the gun,418.0
bay bay kids,418.0
cradle of filth,417.0
pop her cherry,417.0
ching chang chong,417.0
republican family values,415.0
underwater basket weaving,415.0
kingdom of loathing,415.0
russian sex roulette,414.0
busting a nut,414.0
kappa alpha theta,413.0
doris day parking,412.0
radio free colorado,411.0
air force ones,410.0
hit the head,410.0
i hate you,410.0
walk the line,410.0
i call bullshit,410.0
woman on top,409.0
buttered theatre girth,409.0
que lo que,408.0
drum and bass,408.0
university of virginia,408.0
cheat the sheet,408.0
roman war helmet,407.0
generic party cup,407.0
upper deck deluxe,406.0
high and dry,406.0
abercrombie & bitch,406.0
short man's syndrome,405.0
que sera sera,405.0
bmw 3 series,404.0
piece of work,403.0
senior skip day,403.0
canadian armed forces,403.0
dead baby jokes,403.0
feed the pony,403.0
the walking dead,403.0
dat dere celltech,402.0
fucking the dog,402.0
girl on girl,402.0
diamond supply co.,402.0
dazed and confused,401.0
a perfect circle,401.0
itch twitchy twat,400.0
under the weather,400.0
the l word,400.0
you got served,399.0
5 by 5,399.0
giant enemy crab,399.0
jesus of suburbia,398.0
all that remains,398.0
baby mama's drama,398.0
cinnamon toast crunch,398.0
sharon  ma,398.0
ran ran ru,398.0
man the harpoons,397.0
pc load letter,397.0
patriot act arrest,397.0
new jersey accent,396.0
west virginia university,395.0
robert de niro,395.0
breaking the seal,395.0
bob and tom,395.0
arizona state university,394.0
dog eat dog,394.0
alpha mike foxtrot,393.0
rock the casbah,393.0
bros before hos,392.0
jimmy eat world,392.0
target cart attendant,391.0
average penis length,390.0
pull a homer,390.0
cal poly pomona,389.0
weird al yankovic,389.0
bitch dependency syndrome,389.0
i feel you,389.0
break up sex,389.0
bored as hell,389.0
fair weather fan,389.0
saturday night live,389.0
neon genesis evangelion,389.0
stevie ray vaughan,388.0
lexington  ma,388.0
fair and balanced,388.0
auld lang syne,387.0
full metal alchemist,387.0
final fantasy vii,387.0
silent but deadly,387.0
ren and stimpy,387.0
la douleur exquise,386.0
alpha kenny body,386.0
dr. kenneth noisewater,385.0
suffice to say,384.0
one eyed pirate,384.0
fuck the dog,383.0
rusty fish hook,383.0
angry truck men,382.0
pop the glock,382.0
queer as folk,381.0
shake that bear,381.0
-.  .-,380.0
how's your father,379.0
fragment consider revising,379.0
five knuckle shuffle,378.0
george bush syndrome,378.0
de la soul,378.0
george w. iscariot,378.0
for fucks sake,377.0
can't be arsed,376.0
circle the drain,376.0
half plus seven,376.0
pop a cap,375.0
fuck me sideways!,375.0
keep it moist,374.0
hardy har har,374.0
gay old time,373.0
the banner hammer,373.0
could care less,373.0
break a leg,373.0
new york giants,373.0
a good fuck,372.0
the north face,372.0
lacrosse vs. baseball,372.0
sexy as fuck,372.0
grand prix gtp,372.0
george bush logic,371.0
1000 yard stare,371.0
real hip hop,371.0
rub and tug,371.0
bush butt fuck,370.0
reality distortion field,369.0
king of pop,369.0
hooked on ebonics,368.0
colonel cluster fuck,368.0
jump your bones,368.0
george w.m.d. bush,367.0
shallow and pedantic,367.0
scissor me timbers,366.0
abercombie and fitch,366.0
ol' dirty bastard,365.0
san fernando valley,365.0
loose meat sandwich,364.0
chinese basket job,364.0
jack the ripper,363.0
b.g. knocc out,363.0
n w a,363.0
boys like girls,363.0
lets be friends,363.0
gamma phi beta,362.0
my new haircut,362.0
smoke a fag,362.0
5 knuckle shuffle,362.0
white tiny penis,361.0
you go girl,361.0
john paul jones,361.0
delta tau delta,361.0
tupac amaru shakur,360.0
katherine harris crazy,360.0
one trick pony,360.0
the old nite,360.0
bob's your uncle,360.0
scene vs emo,359.0
put on blast,359.0
vote or die!,358.0
pussy ass nigga,358.0
truth or dare,358.0
saving private ryan,358.0
choke the chicken,357.0
mark ass nigga,357.0
one-eyed angry pirate,357.0
 _ ,357.0
fuck yo couch!,357.0
pull my finger,356.0
boy next door,356.0
r. lee ermey,356.0
free animal porn,355.0
quid pro quo,355.0
chinese slot machine,355.0
blah blah blah,355.0
pew pew pew,354.0
(lincoln park) trixie,354.0
curb your enthusiasm,354.0
bless your heart,354.0
dj sir scratch,354.0
shit a brick,354.0
delta sigma theta,353.0
duffle bag boy,353.0
hash slinging slasher,353.0
waka waka waka,353.0
goo goo dolls,353.0
falling for you,353.0
russian war helmet,352.0
weighted companion cube,352.0
get it in,352.0
horny as hell,352.0
fuck you bitch,351.0
girls' night out,350.0
ja rule hater,350.0
run the train,350.0
five by five,349.0
pimp my ride,349.0
vegans taste better,349.0
it's all good,349.0
bush for president,349.0
keak da sneak,349.0
blowjob alarm clock,348.0
rush limbaugh education,348.0
tribeca film festival,348.0
white boy dick,348.0
big booty judy,347.0
fat bottomed girls,347.0
delta sigma pi,347.0
yu yu hakusho,347.0
as a friend,346.0
courage dot com,345.0
supersoak that hoe,345.0
old college try,345.0
tippin' on 44s,344.0
hard knock life,344.0
la dee da,343.0
doing the most,343.0
regis high school,342.0
a beaver attempt,342.0
one inch blow,342.0
get at me,342.0
dir en grey,341.0
big booty bitches,341.0
r kelly's grandma,340.0
mad fer it,340.0
jesus h. christ,340.0
st. totteringham's day,340.0
the big lebowski,339.0
bad news bears,339.0
punk ass bitch,339.0
motion city soundtrack,339.0
mexican crotch crickets,339.0
kill a kitten,339.0
smashing your carrot,338.0
a big lick,338.0
george. w bush,338.0
hip hop head,338.0
emo hair flip,338.0
sigma phi epsilon,338.0
black don't crack,338.0
boo you whore,337.0
crock of shit,337.0
operation iraqi freedumb,337.0
gin and juice,336.0
$30 000 millionaire,336.0
got your back,336.0
blueberry yum yum,336.0
little jimmy urine,335.0
vanessa anne hudgens,335.0
sweet fancy moses,334.0
obi wan kenobi,334.0
eddie van halen,334.0
he hate me,334.0
alabama black snake,334.0
bust a cap,333.0
delta delta delta,333.0
hong kong dollar,333.0
lincoln high school,333.0
the pink sock,333.0
toilet bowl stout,333.0
keeping it real,333.0
coup de grace,332.0
keep on trucking,332.0
 p ,332.0
edgar allan poe,331.0
fluff your garfield,331.0
bridge and tunnel,330.0
rob and big,330.0
resident evil 4,330.0
frankie says relax,330.0
swift boat hush,329.0
in the zone,329.0
tra la la,328.0
the friend zone,328.0
gym class heroes,328.0
tau gamma phi,328.0
theta phi alpha,328.0
lock and load,327.0
yeah yeah yeahs,327.0
airsoft vs paintball,327.0
the royal we,327.0
trap or die,327.0
bust a bitch,326.0
miller high life,326.0
bag of onions,326.0
macs or pc's,326.0
religion and politics,325.0
east carolina university,325.0
shucking and jiving,325.0
feed the horse,325.0
world of warcrack,325.0
i see you,323.0
toss a salad,323.0
snape kills dumbledore,322.0
plug 'n chug,321.0
ass and titties,321.0
scornful farm wives,321.0
so's your face,321.0
wall of death,321.0
pussy ass bitch,321.0
internet hate machine,320.0
water the tires,320.0
hide the sausage,320.0
ride the lightning,320.0
disgusting sexual references,320.0
israeli lane change,320.0
mormon assault vehicle,319.0
royale with cheese,319.0
wake forest university,319.0
walton & johnson,318.0
couldn't care less,318.0
chi chi man,318.0
the daily show,318.0
bust my chops,318.0
sweet zombie jesus,318.0
university of arizona,318.0
hold you down,318.0
samuel l jackson,317.0
i want you,317.0
pulling a train,317.0
university of pittsburgh,317.0
martin luther king,316.0
not too shabby,316.0
call of duty,316.0
chew and screw,316.0
saint ann's school,316.0
black history month,316.0
third eye blind,316.0
new york knicks,315.0
pi kappa alpha,315.0
tipping the velvet,315.0
america fuck yeah,315.0
conan the republican,315.0
saber-toothed crotch cricket,315.0
fat hater friend,315.0
reading  pa,314.0
bush for brains,314.0
the door test,314.0
the big o,314.0
flippity floppity floop,314.0
klu klux klan,313.0
chicken noodle soup,313.0
y helo thar,313.0
in your face,312.0
master of unlocking,312.0
kool aid man,312.0
thats whats up,312.0
grown ass man,312.0
white and nerdy,312.0
taco flavored kisses,311.0
spontaneous dental hydroplosion,311.0
adam and eve,311.0
basket of fruit,311.0
middle school dance,311.0
queef cordon bleu,311.0
6 inch penis,311.0
baby mama drama,311.0
to the dome,310.0
hijo de puta,309.0
ass cookie ,309.0
made of win,309.0
525 600 minutes,309.0
wtf  mate?,309.0
columbian neck tie,309.0
5 finger discount,308.0
university of oregon,308.0
 - ,307.0
catch and release,307.0
the rolling stones,307.0
rule of honor,307.0
act a fool,306.0
mario kart 64,306.0
friend of dorothy,306.0
pog mo thoin,306.0
a hot mess,306.0
hot to trot,306.0
ya tu sabes,305.0
chop it up,305.0
for the win,305.0
rule of three,304.0
bish bash bosh,304.0
get 'er done,304.0
the dark knight,304.0
my bloody valentine,304.0
space dock fondue,304.0
full of shit,303.0
la vie boheme,303.0
jebem ti mater,301.0
really big clit,301.0
tommy tough tits,301.0
get over here,300.0
lesane parish crooks,300.0
statue of liberty,300.0
va va voom!,299.0
philly fake out,299.0
up the duff,299.0
raise the roof,299.0
mini van ,299.0
viva la raza,298.0
rosie o' donnell,298.0
brotha lynch hung,298.0
mr. mojo risin',297.0
the sims 2,297.0
earning red wings,297.0
suck my ass,297.0
cock and balls,296.0
tommy tough nuts,296.0
oh my lanta,296.0
one tree hill,295.0
two pump chump,295.0
way to go,295.0
the irate gamer,294.0
alpha phi alpha,294.0
bat shit crazy,294.0
high school hero,294.0
large vagina lady,293.0
alpha gamma delta,293.0
hot air balloon,293.0
university of texas,292.0
gay for pay,292.0
beat the meat,292.0
mother in law,292.0
shit stained balls,291.0
how seventh grade,291.0
slap and tickle,291.0
girl on top,291.0
pick it up,291.0
get it on,291.0
phi delta theta,290.0
en taro adun,290.0
yvan eht nioj,290.0
what the shit,290.0
family force 5,289.0
spitters are quitters,289.0
habitual line stepper,289.0
mind as well,288.0
lick my balls,288.0
yellow dog democrat,288.0
bed & bj,288.0
flip the script,288.0
christian persecution complex,288.0
shitload of fuck,287.0
baby back bitch,287.0
pi lambda phi,287.0
new york accent,287.0
sex on legs,287.0
