word,score
jack off,3472.0
green eyes,3466.0
cookie duster,3455.0
husband chair,3455.0
mormon first base,3428.0
spit take,3424.0
penis sympathy,3413.0
jackass of all trades,3412.0
hollywood undead,3407.0
marching band,3365.0
linkin park,3360.0
party foul,3358.0
water temple,3343.0
climate change,3340.0
bats in the cave,3324.0
post-potter depression,3324.0
brand new,3320.0
i'd hit it,3313.0
global warming,3287.0
the simpsons,3277.0
butt pirate,3260.0
ted nugent,3256.0
hooking up,3246.0
system of a down,3235.0
designated drunk,3234.0
rocket surgery,3233.0
abercrombie and fitch,3233.0
trickle down theory,3231.0
controller thrower,3229.0
fuckoff o'clock,3228.0
work hot,3227.0
happy ending,3222.0
backseat surfer,3221.0
alaskan pipeline,3221.0
nursing a semi,3211.0
cyber sex,3206.0
make it rain,3188.0
two girls one cup,3179.0
labor day,3178.0
deez nutz,3176.0
middle school,3170.0
desk rage,3152.0
poophole loophole,3131.0
awkward turtle,3130.0
irish twins,3124.0
rush limbaugh,3120.0
premature evacuation,3107.0
fashionably late,3101.0
i'm not gay seat,3096.0
rage against the machine,3094.0
couching distance,3076.0
wake and bake,3074.0
home run,3069.0
baby bump,3063.0
electile dysfunction,3054.0
ho ho ho,3051.0
chasing the dragon,3051.0
jesus piece,3049.0
white boy,3042.0
boyfriend bomb,3040.0
baby mama,3039.0
thingsgetting day,3021.0
all your base are belong to us,3020.0
armenian noodle dip,3016.0
black people,3012.0
xbox 360,3010.0
sad panda,3007.0
poe's law,2998.0
family guy,2996.0
fuck buddy,2980.0
freddie mercury,2979.0
irish handcuffs,2974.0
michael jackson,2970.0
cool beans,2959.0
jill off,2951.0
cincinatti bowtie,2948.0
epic fail,2926.0
mitt romney,2918.0
cream pie,2915.0
tea bag,2913.0
watch this,2901.0
no u,2897.0
jack shit,2891.0
poo pride,2888.0
yellow fever,2878.0
glory hole,2871.0
kim kardashian,2870.0
silent rave,2869.0
clam jam,2865.0
best friend,2862.0
bill gates,2857.0
do a barrel roll,2855.0
trash jenga,2835.0
asian girls,2834.0
jimi hendrix,2831.0
boston pancake,2830.0
christmas buzz,2825.0
draco malfoy,2813.0
concert hangover,2809.0
empty a leg,2808.0
teeny bopper,2796.0
johnny depp,2790.0
clutch oven,2787.0
new year's eve,2787.0
humble pie,2785.0
selling popcorn,2779.0
circle jerk,2779.0
bay area,2772.0
yard sailing,2767.0
ja rule,2759.0
make out,2757.0
al sharpton,2755.0
power bottom,2751.0
fucked up,2730.0
mind of mencia,2726.0
reverse racism,2722.0
blue screen of death,2720.0
ride or die,2717.0
gravy train,2709.0
dragging balls,2708.0
bros before hoes,2706.0
zombie jesus,2703.0
chloe ,2697.0
holla back girl,2684.0
gay sex,2683.0
rick santorum,2682.0
mystery hole,2681.0
merry textmas,2678.0
spear chucker,2676.0
frat boy,2675.0
black person,2665.0
missing link,2661.0
political correctness,2660.0
ronald reagan,2657.0
bob marley,2652.0
o rly,2646.0
baby daddy,2644.0
john cena,2641.0
college confidential,2640.0
my ass,2639.0
mary jane,2623.0
dick cheney,2621.0
captain ganja,2617.0
gold digger,2615.0
fudge packer,2613.0
blink 182,2612.0
disney channel,2607.0
homer simpson,2603.0
polish bike ride,2599.0
hood rat,2599.0
leave britney alone,2592.0
bumper sticker activism,2591.0
fucking retrospect,2589.0
wet dream,2579.0
gender fluid,2569.0
bubble butt,2568.0
duck butter,2562.0
dave chappelle,2562.0
burger king,2561.0
leave me in your mother (azov oti be-ima shkha),2559.0
veritas aequitas,2556.0
dry humping,2547.0
high school musical,2546.0
clam dip,2515.0
low key,2509.0
fuck me,2508.0
the time,2499.0
ass is grass,2487.0
phone grope,2485.0
stephen colbert,2473.0
driving finger,2473.0
box lock,2472.0
one night stand,2472.0
kibbles and bits,2466.0
fo shizzle ma nizzle,2455.0
golden shower,2455.0
holiday beard,2438.0
dick chips,2436.0
g string,2436.0
fag hag,2435.0
the shocker,2432.0
man crush,2431.0
don't cross the streams,2425.0
chin strap,2416.0
don't tase me  bro,2414.0
bottle it,2411.0
nig nog,2407.0
girl next door,2399.0
bottled it,2393.0
lesbian sex,2393.0
flying spaghetti monster,2390.0
early nerd special,2387.0
pizza tumor,2387.0
the man,2385.0
making out,2381.0
chimp out,2374.0
snack wells,2374.0
unprotected sleep,2371.0
get real,2370.0
girl crush,2370.0
i wouldn't kick her out of bed for eating crackers,2367.0
i see what you did there,2364.0
indie kid,2361.0
anchor baby,2355.0
cheese and rice,2353.0
old soul,2349.0
fried chicken,2338.0
rule 63,2332.0
ridin dirty,2324.0
glass bottom boat,2322.0
fire hazard,2319.0
daft punk,2317.0
slim shady,2316.0
all time low,2316.0
tourettes guy,2315.0
walk of shame,2307.0
perez hilton,2304.0
halo 3 ,2302.0
white lighter myth,2297.0
fuck you,2296.0
second base,2294.0
mac dre,2293.0
dane cook,2292.0
superman that hoe,2291.0
pop music,2289.0
al gore,2279.0
westboro baptist church,2278.0
grammar nazi,2277.0
asdfjkl ,2277.0
video games,2273.0
nano nap,2266.0
falcon punch,2261.0
mud shark,2261.0
thom yorke,2260.0
bob saget,2252.0
dora the explorer,2244.0
tub girl,2241.0
carpe diem,2240.0
brendon urie,2237.0
immortal technique,2235.0
scene kid,2235.0
urban cougar,2233.0
8 ball,2231.0
michael moore,2225.0
brown eyes,2218.0
put the boot in,2212.0
marilyn manson,2206.0
