Name,Total UD Bigram,Unique UD Bigram %,Total UD Trigram,Unique UD Trigram %,Roberta Review Score,Roberta Bigram Score,Roberta Trigram Score,VADER Review Score,VADER Bigram Score,VADER Trigram Score,Pre-Processed,Spell Checked
WPP_Daylio_customTextBlobSpellCorrected,1077794,0.6377%,989985,0.0528%,0.7417,0.4462,0.4346,0.6061,0.174,0.2308,1,1
WPP_Daylio_spellCorrected,1043087,0.6228%,956085,0.0373%,0.7383,0.4446,0.4341,0.6071,0.1768,0.2342,1,1
WPP_Daylio_standardTextBlobSpellCorrected,1064526,0.6112%,976866,0.0435%,0.7079,0.4429,0.4303,0.59,0.1739,0.2309,1,1
WPP_eMoodTracker,45965,0.1037%,42693,0.0%,0.6801,0.4273,0.4063,0.5433,0.1507,0.202,1,0
WPP_eMoodTracker_compoundSpellCorrected,45676,0.099%,42416,0.0031%,0.6769,0.428,0.4056,0.5447,0.1519,0.2035,1,1
WPP_eMoodTracker_customSpellCorrected,45767,0.1013%,42499,0.0%,0.6801,0.4276,0.4061,0.5444,0.1519,0.2035,1,1
WPP_eMoodTracker_customTextBlobSpellCorrected,46069,0.1013%,42797,0.0%,0.6784,0.4274,0.4053,0.5377,0.1512,0.2022,1,1
WPP_eMoodTracker_spellCorrected,44828,0.0935%,41570,0.0031%,0.6786,0.4287,0.4084,0.5418,0.1541,0.2063,1,1
WPP_eMoodTracker_standardTextBlobSpellCorrected,45540,0.0998%,42270,0.0031%,0.6464,0.4278,0.4056,0.5284,0.1532,0.2052,1,1
WPP_iMoodJournal,34622,0.1091%,32580,0.0124%,0.6984,0.4244,0.4081,0.5993,0.1518,0.207,1,0
WPP_iMoodJournal_compoundSpellCorrected,34485,0.1076%,32451,0.0124%,0.6943,0.4251,0.4072,0.5982,0.1524,0.2074,1,1
WPP_iMoodJournal_customSpellCorrected,34487,0.1068%,32450,0.0124%,0.6975,0.4246,0.4082,0.6004,0.1528,0.2081,1,1
WPP_iMoodJournal_customTextBlobSpellCorrected,34705,0.1068%,32663,0.0124%,0.6937,0.4249,0.4076,0.5973,0.1521,0.207,1,1
WPP_iMoodJournal_spellCorrected,33904,0.1006%,31871,0.0093%,0.6936,0.4247,0.4088,0.5961,0.1537,0.2094,1,1
WPP_iMoodJournal_standardTextBlobSpellCorrected,34338,0.1045%,32294,0.0124%,0.6618,0.4253,0.4074,0.5918,0.1535,0.2088,1,1
WPP_MoodMeter,16474,0.0616%,15606,0.0062%,0.6789,0.4087,0.389,0.5475,0.139,0.1891,1,0
